sentence,evaluation_words,tonality,entity,entity_type
"

Политологи заключили, что теперь Берлускони обрушится с жесткой критикой на действующий кабинет министров, проводящий политику жесткой экономии", политолог заключить что теперь обрушиться с жёсткий критика на действовать кабинет министр провод ,0,Берлускони,PERSON
"

Несколько дней назад в ходе выступления в Лондонской школе экономики руководитель аппарата Правительства сделал неожиданно скандальное заявление, раскритиковав работу следственных органов по делу коррупции и растратах в «Сколково»:
СК слишком торопится, так громко заявляя о злоупотреблениях» в «Сколково»",бот следственный орган по дело коррупция и растрата в сколково слишком торопиться так громко заявлять о злоупотребление в сколково ,-1,СК,ORGANIZATION
" Об Италии вообще нечего говорить: её долги в два раза больше, чем Греции, Ирландии, Португалии и Испании, вместе взятых», — цитирует «Росбалт» Сулика",талия вообще нечего говорить быть долг в два раз большой чем греция португалия и испания вместе взять цитировать росбалт сулика ,0,Ирландии,COUNTRY
"

В пользу партнёрского сотрудничества НАТО и России высказался также министр обороны Германии Франц Йозеф Юнг", в польза партн рский сотрудничество и россия высказаться также министр оборона германия франц йозеф юнг ,1,НАТО,ORGANIZATION
" С первых минут матча вместо зенитовца на поле вышел Денис Глушаков, которого, чтобы придать российской атаке остроту, на 74-й минуте Дик Адвокат заменил на еще одного нападающего Павла Погребняка",место зенитовец на поле выйти денис глушаков который чтобы придать атака острота на й минута дик адвокат заменить на ещё один напад ,0,российской,COUNTRY
"

Между тем с победой сборную России уже успел поздравить премьер-министр Дмитрий Медведев", между тем с победа уже успеть поздравить премьер министр дмитрий медведев ,1,сборную России,ORGANIZATION
"

В департаменте здравоохранения Москвы уточнили, что ''«в этой аварии погибли Марина Голуб и мужчина, личность которого сейчас устанавливается»''",тамент здравоохранение москва уточнить что в этот авария погибнуть и мужчина личность который сейчас устанавливаться  ,0,Марина Голуб,PERSON
" Речь идет о президенте Berkshire, директоре по управлению более чем 70 компаниями, входящими в холдинг, а также нескольких инвестиционных менеджерах", речь идти о президент директор по управление более чем компания входящий в холдинг ,0,Berkshire,ORGANIZATION
"В Москве погиб актёр Андрей Панин
Андрей Панин
Около 11 часов утра 7 марта 2013 года в квартире дома на Юго-Западе Москвы было обнаружено тело известного российского актёра и режиссёра Андрея Панина с травмой головы",в москва погибнуть акт р андрей панин около час утро март год в квартира дом на ,0,Андрей Панин,PERSON
"

Facebook уже обошел Google по общему объему интернет-трафика и стремительно догоняет по количеству пользователей", facebook уже обойти по общий объём интернет трафик и стремительно догонять по количесть ,0,Google,ORGANIZATION
"
Он обвинён также в захвате сотрудников ООН в 1995 году", он обвино н также в захват сотрудник в год ,0,ООН,ORGANIZATION
"

В записи также принимали участие:
Дмитрий Павлов на гитаре в 5-й и 10-й песне;
Ася Соршнева на скрипке (7,13);
Петр Дольский — бас (13);
Дмитрий Севастьянов — барабаны (13);
Денис Юровский — сведение (7);
Сергей Большаков — сведение, мастеринг и работа над ошибками;

Музыкант в текстах релиза обратился к проблемам свободы слова, образования, международных отношений, конфликтов в Украине и Донбассе, а также о нелёгкой жизни обычных россиян", дмитрий севастьянов барабан денис юровский сведение сведение мастеринг и работа над ошибка музыкант в текст рель ,0,Сергей Большаков,PERSON
"В Крыму объявлен трёхдневный траур после массового убийства в колледже
Керчь (архивное фото)

Глава Республики Крым Сергей Аксёнов объявил трёхдневный траур в связи с массовым убийством учащихся и сотрудников Керченского политехнического колледжа:
 Выражаю самые искренние и глубокие соболезнования родным и близким погибших при взрыве в Керченском политехническом колледже Потрясен этой страшной трагедией разделяю вашу боль и скорбь По предварительным данным погибло 10 и пострадало 50 человек В связи с трагедией в Крыму с завтрашнего дня будет объявлен трёхдневный траур Для оказания помощи пострадавшим принимаются все необходимые меры Крым Россия 

Очевидцы сообщают, что в здании  Керченского технологического техникума в среду около 11:45 стали слышны выстрелы, затем, приблизительно в полдень, произошло два взрыва",нний и глубокий соболезнование родный и близкие погибнуть при взрыв в потрясный этот страшный трагедия разделять ваш боль и скорбь по предть ,0,Керченском политехническом колледже,ORGANIZATION
"

Водитель Cadillac 31-летний Алексей Русаков с места преступления скрылся", водитель cadillac летний с место преступление скрыться ,-1,Алексей Русаков,PERSON
"

Одна из самых узнаваемых и противоречивых фигур в администрации Клинтона, Рено уже в самом начале работы в качестве генпрокурора столкнулась с критикой в связи со штурмом поместья в Уэйко, штат Техас, где находились члены секты «Ветвь Давидова» во главе с её лидером Дэвидом Корешом", с штурм поместье в уэйкий штат техас где находиться член секта в глава с быть лидер дэвид кореш ,-1,Ветвь Давидова,ORGANIZATION
"Полицейские во Франции убили страсбургского стрелка
Цветы и свечи в память о жертвах
Полицейские во Франции застрелили Шерифа Шекатта (Chérif Chekatt), 29-летнего уроженца Страсбурга, подозреваемого в вооруженном нападении на прохожих в центре города",трасбургский стрелка цветок и свеча в память о жертва полицейский в застрелить шериф шекатта ch rif chekatt летний уроженец страс ,0,Франции,COUNTRY
 Попытки спасти Испанию — это азартная игра с евро, попытка спасти это азартный игра с евро ,0,Испанию,COUNTRY
"Джон Керри прибыл в Пакистан

Джон Керри

Сенатор Джон Керри прибыл в воскресенье вечером в Пакистан",джон керри прибыть в пакистан джон керри сенатор прибыть в воскресение вечером в пакистан ,0,Джон Керри,PERSON
"
В частности премьер-министр Франции Жан-Марк Эро назвал решение Депардье о переезде в Бельгию «жалким поступком»",ьер министр франция жан марк эро назвать решение депардье о переезд в жалкий поступок  ,0,Бельгию,COUNTRY
" В то же время, судья Ким Мун Сун отметил, что компания Apple, в свою очередь, использовала телекоммуникационные разработки, запатентованные Samsung", в то же время судья отметить что компания apple в свой очередь использовать телекоммунь ,-1,Ким Мун Сун,PERSON
" Кстати, такого же мнения придерживался и Ленин в отношении к Государственной Думе", кстати такой же мнение придерживаться и в отношение к государственный дума ,0,Ленин,PERSON
" 17% поддерживают вариант технического правительства Руснока, для 21% приемлемо продолжение коалиционного кабинета OSD-TOP 09 с премьером Мирославой Немцовой", поддерживать вариант технический руснок для приемлемый продолжение коалиционный кабинет osd top ,0,правительства,ORGANIZATION
"СМИ: Десятки мирных афганцев убиты после авиаудара США
Американский самолёт в Афганистане, 2008 год
В результате воздушного удара авиации США в афганской провинции Кундуз погибли десятки мирных жителей",самол так в афганистан год в результат воздушный удар авиация в афганский провинция кундуза погибнуть десятка мирный житель ,-1,США,COUNTRY
 Медведева на встрече G8 2008 года, медведев на встреча год ,0,G8,ORGANIZATION
"

После выхода заявления Миллера несколько знаменитостей выступили в поддержку звезды «Другого мира» (Underworld)", после выход заявление несколько знаменитость выступить в поддержка звезда другой мир  ,0,Миллера,PERSON
"Трамп и Путин сделали совместное заявление к 75-летию встречи на Эльбе

Президент США Дональд Трамп и президент России Владимир Путин сделали совместное заявление к 75-летию исторической встречи американских и советских войск в конце Второй мировой войны на реке Эльба в Германии, ознаменовавшей поражение нацистского режима",трамп и сделать совместный заявление к летие встреча на эльба президент с ,0,Путин,PERSON
"

В заявлении МИД Турции по факту появления ордера на арест говорится:
Посол США в Анкаре был приглашён в МИД на встречу с заместителем министра иностранных дел Турции Умитом Ялчином после того, как стало известно, что власти США выдали ордер на арест некоторых турецких граждан, в том числе сотрудников охраны нашего президента, в связи с инцидентом, произошедшим у резиденции турецкого посла в Вашингтоне 16 мая",влении мид турция по факт появление ордер на арест говориться посол в анкара быть приглаша н в мид на встреча с заместитель министр иност ,0,США,COUNTRY
"

Также, государственный департамент США выслал в Грузию сотрудника, который должен сообщить правительству Грузии мнение США", также государственный департамент выслать в грузия сотрудник который должный сообщить правительство гру ,0,США,COUNTRY
"

Амато предложил, чтобы Католики во всем мире начали организованные протесты против фильма «Код да Винчи» точно так же, как были протесты против фильма Мартина Скорсезе (Martin Scorsese) «Последнее искушение Христа» в 1988 году",толика в весь мир начать организовать протест против фильм код точно так же как быть протест против фильм мартин скорсез mart ,0,да Винчи,PERSON
 Он был арестован на территории Великобритании в 2010 году, он быть арестовать на территория в год ,0,Великобритании,COUNTRY
"

Судья в Милане распорядился освободить одного из самых влиятельных боссов «Коза Ностры», 78-летнего Франческо Бонура, который отбывал 23-летний срок", в милан распорядиться освободить один из самый влиятельный босс летний франческо бонур который отбывать летний срок ,0,Коза Ностры,ORGANIZATION
"
Тем не менее по результатам совещания Сурков заверил Путина, что правительство совместно с администрацией президента сделает все необходимое для устранения недостатков в этой сфере", тем не менее по результат совещание заверить путин что правительство совместно с администрация президен ,0,Сурков,PERSON
"
Адвокат Алёхиной Оксана Дарова заявила о политической ангажированности всего процесса: «Маша является человеком крайне активно участвовавшим в гражданской жизни страны — и всюду с ней был 5-летний Филипп", адвокат ала хина заявить о политический ангажированность весь процесс маша являетс ,1,Оксана Дарова,PERSON
" Победители конкурса в каждой номинации награждается памятными дипломами и статуэтками «Идущий с книгой», а обладателю гран-при вручается специальный приз работы ювелира Андрея Ананова — хрустальное яйцо с алмазной инкрустацией, внутри которого находится миниатюрная книга",гой а обладатель гран при вручаться специальный приз работа ювелир хрустальный яйцо с алмазный инкрустация внутри который находиться ,0,Андрея Ананова,PERSON
 Первой об этой встрече сообщила газета ''New York Times'', первый о этот встреча сообщить газета  ,0,New York Times,ORGANIZATION
"В Госдуме РФ утверждены законы об НКО и о клевете


В пятницу 13 июля Госдума РФ проголосовала во втором и третьем чтениях за перевод клеветы в разряд уголовных преступлений, караемых денежными штрафами на сумму до 5 миллионов рублей",в утвердить закон о нко и о клевета в пятница июль госдума рф п ,0,Госдуме РФ,ORGANIZATION
"


== Статистика матчей ==

=== Динамо — ЦСКА 0:0 ===


=== Спартак — Зенит 1:0 ===
", статистика матч динамо цска спартак  ,0,Зенит,ORGANIZATION
"

Владимир Маркин
Замечание пресс-секретаря прозвучало важно ещё и в разрезе достигшего вчера пика конфликта между Владиславом Сурковым и представителя Следственного комитета России Владимира Маркина",гнуть вчера пик конфликт между владислав сурков и представитель россия владимир маркин ,0,Следственного комитета,ORGANIZATION
" По его словам, он намерен отменить часть принятых Бараком Обамой мер, направленных на нормализацию отношений с Кубой после полувековой изоляции",принять барак обама мера направить на нормализация отношение с после полувековой изоляция ,0,Кубой,COUNTRY
"В Китае критикуют оборону Винтерфелла
Книга «Искусство войны» китайского военного стратега Сунь-цзы
Китайские зрители разочарованы битвой с мертвецами в сериале «Игра престолов»",в критиковать оборона винтерфелла книга искусство война китайский воить ,0,Китае,COUNTRY
"С космодрома Восточный будут стартовать сверхтяжелые носители
На заседании в рамках 60-го Международного космического конгресса, открывшегося в понедельник в городе Тэджон (Республика Корея), глава Роскосмоса Анатолий Перминов сообщил, что ""Ведутся работы по завершению летных испытаний и принятию в эксплуатацию модернизированной ракеты-носителя Союз-2", открыться в понедельник в город тэджон республика корея глава анатолий перминов сообщить что вестись работа по завершение лётный и ,0,Роскосмоса,ORGANIZATION
"

Жертвами хакеров, среди прочих, стали такие финансовые фирмы, как NASDAQ и Heartland Payment Systems, а также авиакомпания JetBlue Airways и розничная сеть J", жертва хакер среди прочий стать такой финансовый фирма как и heartland payment systems а также авиакомпания jetblue airways и р ,0,NASDAQ,ORGANIZATION
" Позднее, уже в период распада Югославии, Радичу было присвоено звание генерал-полковника, и он возглавил вооруженные формирования боснийских сербов, начавших боевые действия с целью создать на территории Боснии и Герцеговины отдельную сербскую республику", поздний уже в период распад радич быть присвоить звание генерал полковник и он возглавить воор ,0,Югославии,COUNTRY
"В Афганистане убит американский военный
Американские военные в Афганистане, 2014 год
Военнослужащий США умер в Афганистане в результате полученных ранений во время операции в провинции Логар",в афганистан убить американский военный военный в афганистан год военнослужащий сша умереть в афганистан ,0,Американские,COUNTRY
"

В новой работе Мур собирается сфокусироваться на связях между правительствами разных стран и «разоблачить способы, которые они используют для вовлечения ничего не подозревающих граждан в свои махинации»", в новый работа собираться сфокусироваться на связь между правительство разный стр ,0,Мур,PERSON
"

Между тем Трамп не планирует разрывать восстановленные в 2015 году после полувекового перерыва дипломатические отношения — и обещает уважать суверенитет Кубы", между тем не планировать разрывать восстановить в год после полувековой ,0,Трамп,PERSON
" В этом году награду получили активист Нниммо Бассей из Нигерии за «вдохновлённую работу по укреплению экологического движения во всём мире», организация «Сапрос» из Непала за борьбу с нищетой «даже в условиях угрозы политического насилия и нестабильности», епископ Эрвин Кретлер из Бразилии за «многолетнюю работу в области защиты прав человека и окружающей среды и за неустанную борьбу по спасению лесов Амазонки от уничтожения», а также организация «Врачи за права человека» из Израиля за «неукротимый дух в борьбе за право на здоровье всех жителей Израиля и Палестины»",оту по укрепление экологический движение в вс м мир организация из непал за борьба с нищета даже в условие угроза политический  ,0,Сапрос,ORGANIZATION
"Сторонники «Исламского государства» жестоко убили туристок в Марокко

24-летняя Луиза Вестерагер Йесперсен и 28-летняя Марен Уеланд были жестоко убиты в Марокко сторонниками «Исламского государства»",н и летний марена уеланда быть жестоко убить в марокко сторонник  ,-1,Исламского государства,ORGANIZATION
"

Как известно, на больших участках автобанов Германии скорость не ограничена, и клип, размещенный в Instagram, показывает водителя, который на своём LaFerrari развил скорость в 370 км/ч", как известно на больший участок автобан скорость не ограничить и клип разместить в instagram показывать в ,0,Германии,COUNTRY
"

После вступительного слова председателя соответствующего Нобелевского комитета лауреаты выходили на сцену, по традиции украшенную тысячами свежих цветов, где из рук короля принимали почетную награду, находясь в центре круга, заключающего в себе букву «N» — символ Нобелевского фонда и Нобелевских премий", после вступительный слово председатель соответствующий лауреат выходить на сцена по традиция украсить тысяча свежий цв ,0,Нобелевского комитета,ORGANIZATION
" Так, 13 июня 2017 года пресс-секретарь Госдепартамента США Хизер Нойерт назвала решение Панамы разорвать дипломатические отношения с Тайванем в пользу Китая «внутренним делом» правительств Тайваня и Панамы", так июнь год пресс секретарь госдепартамент сша назвать решение панама разорвать дипломатический отношение с тайвань ,0,Хизер Нойерт,PERSON
"
В сообщении Кремля в частности говорится:
Путин выразил уверенность, что под руководством Мадуро Венесуэла будет и впредь укреплять отношения стратегического партнерства с Россией, а также подтвердил готовность к дальнейшему развитию конструктивного диалога по всему спектру двусторонних и международных вопросов в интересах двух стран и народов",уэла быть и впредь укреплять отношение стратегический партнёрство с а также подтвердить готовность к дальнейший развитие конструктивный ,0,Россией,COUNTRY
"Мать рядового Владислава Челаха, обвиняемого в убийстве 14 пограничников и егеря, после свидания с сыном заметила следы побоев", обвинять в убийство пограничник и егерь после свидание с сы ,0,Мать рядового Владислава Челаха,PERSON
 В персональных устремлениях Земана он усмотрел существующую тенденцию к движению Чехии в сторону корпоративного государства, в персональный устремление он усмотреть существующий тенденция к движение чехия в сторона корпора ,0,Земана,PERSON
 Трамп назвал Голстейна «американским военным героем», назвать голстейн американский военный герой  ,0,Трамп,PERSON
 И я говорю вам — Норвегия должна быть сильной и узнаваемой, и я говорить вы должный быть сильный и узнавать ,1,Норвегия,COUNTRY
"

Газета «Дэйли Майл» сообщает о планах Эндрю Ллойда Вебера (Andrew Lloyd Webber) написать мюзикл, основанный на романе «Мастер и Маргарита»",а вебер andrew lloyd webber написать мюзикл основать на роман и маргарита  ,0,Мастер,PERSON
"Награда Стивену Хокингу
30 ноября Британское Королевское Общество вручит Стивену Хокингу престижную Медаль Копли (Copley Medal)", королевский общество вручить стивен хокинг престижный медаль копля medal  ,0,Copley,PERSON
"США пересмотрят отношения с Сальвадором, разорвавшим отношения с Тайванем
США заявили, что пересмотрят отношения с Сальвадором после того, как центральноамериканское государство разорвало дипломатические отношения с Тайванем в пользу Китая", пересмотреть отношение с сальвадор разорвать отношение с тайвань ,0,США,COUNTRY
"

Практически все СМИ связали решение ведомства с тем, что президент Белоруссии Александр Лукашенко потребовал возбудить уголовное дело в отношении главы Россельхознадзора Сергея Данкверта из-за «нанесения вреда государству» и якобы коррупционных интересов последнего:
Что касается продуктов питания… Нам надо изучить вопрос и возбудить уголовное дело по Данкверту… за нанесение ущерба государству",дукт питание мы надо изучить вопрос и возбудить уголовный дело по за нанесение ущерб государство ,0,Данкверту,PERSON
"Трамп отменил соглашения Обамы по нормализации отношений США и Кубы
Дональд Трамп
Рауль Кастро и Барак Обама
В пятницу, 16 июня 2017 года, президент США Дональд Трамп объявил об изменении политики страны в отношении Кубы",трамп отменить соглашение обама по нормализация отношение сша и дональд трамп рауль кастро и барак обама в пятница июнь год ,-1,Кубы,COUNTRY
"

Президент Владимир Путин подверг резкой критике выступление Pussy Riot, а Русская православная церковь назвала его частью скоординированной атаки на основное вероисповедание страны", президент владимир путин подвергнуть резкий критика выступление а русский православный церковь назвать он часть скоординировать  ,-1,Pussy Riot,ORGANIZATION
" интервью агентству Интерфакс 27 декабря 2011 при отставке с поста замглавы Администрации Президента России Сурков утверждал, что: «Я был в числе тех, кто помогал президенту Ельцину осуществить мирный переход власти",вить агентство интерфакс декабрь при отставка с пост замглавы сурков утверждать что я быть в число тот кто помогать президент ель ,0,Администрации Президента России,ORGANIZATION
"Россия и Китай предложили резолюцию по Северной Корее

Обсуждение ракетных испытаний в Северной Корее получило неожиданное предложение",россия и предложить резолюция по северный корея обсуждение ракетный испытание ,0,Китай,COUNTRY
"
Официальных обвинений по этому поводу предъявлено не было и утверждается, что полиция лишь хочет допросить Макафи",ных обвинение по этот повод предъявить не быть и утверждаться что лишь хотеть допросить макафи ,0,полиция,ORGANIZATION
"Россия вводит запрет на поставку говядины из Беларуси, после критики в адрес главы Россельхознадзора
Сергей Данкверт
С 6 февраля 2017 года Россия запретит ввоз в страну белорусской говядины из Минской области, заявил официальный представитель Россельхознадзора Юлия Мелано",русский говядина из минский область заявить официальный представитель юлия мелано ,0,Россельхознадзора,ORGANIZATION
"Петиции против закона Яровой бьют рекорды популярности

Ирина Яровая
Внесённые в Государственную Думу России законопроекты № 1039101-6 «О внесении изменений в Уголовный кодекс Российской Федерации и Уголовно-процессуальный кодекс Российской Федерации в части установления дополнительных мер противодействия терроризму и обеспечения общественной безопасности» и № 1039149-6 «О внесении изменений в отдельные законодательные акты Российской Федерации в части установления дополнительных мер противодействия терроризму и обеспечения общественной безопасности» за авторством Председателя комитета госдумы по безопасности и противодействию коррупции Ирины Яровой и члена Совета Федерации Виктора Озерова были довольно быстро приняты депутатами от «Единой России»",тив закон яров бить рекорд популярность ирина яровой внести нный в россия законопроект о внесение изменение в уголовный к ,0,Государственную Думу,ORGANIZATION
"Умер Кирк Дуглас — последний представитель «золотого века» американского кинематографа
Кирк Дуглас в 1963 году
Кирк Дуглас в возрасте 103 года скончался в своём доме в Беверли-Хиллз (Калифорния, США) в среду, 5 февраля 2020 года",умереть последний представитель золотой век американский кинематограф ,1,Кирк Дуглас,PERSON
" Россия приветствует лишь один сценарий, конструктивный диалог правительства Сирии и оппозиции без иностранного вмешательства", приветствовать лишь один сценарий конструктивный диалог правительство и оппозиция без иностранный вмешательство ,0,Сирии,COUNTRY
"В Малави сменился глава государства
Власти Малави подтвердили достоверность появившихся накануне сообщений о смерти президента Бингу ва Мутарика",в смениться глава государство власть малави подтвердить достоверность по ,0,Малави,COUNTRY
" По мнению журналистов, пост занять могут Хуанде Рамос и Хосеп Гвардиола, Гус Хиддинк, а также Брендан Роджерс",мнение журналист пост занять мочь хуанда рамос и хосеп гвардиол а также брендать роджерс ,0,Гус Хиддинк,PERSON
"

На прошлой неделе 19-летнему Филлипосу, который вместе с Царнаевым учился в Университете Массачусетса, были предъявлены обвинения в том, что он солгал следователям о том, что заходил в комнату Царнаева в общежитии через три дня после взрывов",инения в тот что он солгать следователь о тот что заходить в комната в общежитие через три день после взрыв ,0,Царнаева,PERSON
" Все-таки он прошел под знаменем соцсети Facebook, основатель которой Марк Цукерберг стал человеком года по версии влиятельного американского журнала Time",ель который марк цукерберг стать человек год по версия влиятельный журнал time ,0,американского,COUNTRY
"

Ушёл из жизни Виктор Васильевич Тихонов — выдающийся тренер и наставник, сильный, волевой, честный и принципиальный человек", уш л из жизнь выдающийся тренер и наставник сильный волевой честный и принципеть ,1,Виктор Васильевич Тихонов,PERSON
" Инженер нефтесервисного концерна Hulliburton Джесси Гальяно заявил об этом под присягой, выступая в роли свидетеля по делу против British Petroleum, которое ведёт береговая охрана США и департамент внутренних дел",теля по дело против british petroleum который веда так береговой охрана и департамент внутренний дело ,0,США,COUNTRY
"

Прокурор Ильда Бокассини (Ilda Boccassini) потребовала шести лет", прокурор ilda boccassini потребовать шесть год ,-1,Ильда Бокассини,PERSON
"Walmart подал к Visa иск на пять миллиардов долларов
Магазин компании Walmart
Тележка с рекламой платёжной системы VISA
Крупнейшая в мире торговая сеть Walmart пытается через суд взыскать с платёжной системы VISA пять миллиардов долларов США за завышение комиссий",оллары магазин компания walmart тележка с реклама плата жной система крупный в мир торговый сеть walmart пытаться через суд взыскать с ,0,VISA,ORGANIZATION
"


",  ,0,Magic Woman,ORGANIZATION
"«Джентльмены»: возвращение прежнего Гая Ричи и компании Miramax
Мэттью Макконахи
24 декабря состоялась мировая премьера картины «Джентльмены»", джентльмен возвращение прежний гай ричать и компания miramax декабрь состояться мировой премьера картина джентльмен  ,0,Мэттью Макконахи,PERSON
"Здания МВД и Верховного суда Венесуэлы обстреляны с вертолета
Протесты в Венесуэле
В Венесуэле похищенный у полиции вертолет обстрелял здания Верховного суда и одного из министерств",рховный суд венесуэла обстрелять с вертолёт протест в венесуэла в похитить у полиция вертолёт обстрелять здание верховный суд и один ,0,Венесуэле,COUNTRY
"

Оппонент Моралеса Хорхе Кирога (Jorge Quiroga) признал свое поражение, сказав: «Я поздравляю Эво Моралеса»", оппонент хорх кирог jorge quiroga признать свой поражение сказать я поздр ,0,Моралеса,PERSON
